country_code,country,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Proportion proteine animale (%),populations,Evolution de la population par rapport a l'an passée (en %),Pib par habitant,Variation du pib avec l'année precedente (en %)
1,Arménie,3305.7260168841126,122.98030839274924,35.16,2977,0.269,7727.9,2.886
2,Afghanistan,2260.511825856415,80.20687226183281,15.223,30552,2.438,1848.7,0.511
3,Albanie,3639.1307472266785,145.50957907396213,40.829,3173,0.348,10492.8,1.186
4,Algérie,3605.3212865415467,122.40176703032337,20.408,39208,1.887,13253.6,0.696
7,Angola,2647.511825856415,84.09395498668451,21.88,21472,3.127,6188.0,3.135
8,Antigua-et-Barbuda,2554.809460685132,122.50666179881388,46.389,90,1.124,18823.8,-1.173
9,Argentine,3642.428382055396,130.64322566789747,51.231,41446,0.874,19482.2,1.338
10,Australie,3729.1307472266794,133.08395498668452,53.868,23343,1.271,43118.1,0.85
11,Autriche,4082.321286541547,126.92760158061989,49.524,8495,0.366,44301.1,-0.562
12,Bahamas,2808.8094606851323,117.86103771153624,47.887,377,1.344,28871.4,-1.783
14,Barbade,3178.916556198981,115.5839549866845,43.708,285,0.707,16409.9,-0.327
16,Bangladesh,2661.2141910276987,85.12249634911039,11.666,156595,1.228,2835.8,4.774
17,Bermudes,2737.404730342566,126.93812043638799,47.488,65,0.0,50669.3,-2.816
19,Bolivie (État plurinational de),2562.321286541547,96.44176703032333,30.858,10671,1.667,6090.7,5.141
20,Botswana,2498.511825856415,96.55103771153628,27.374,2021,0.848,15568.3,9.293
21,Brésil,3539.618921370264,121.83395498668452,43.165,200362,0.859,15432.9,2.07
23,Belize,3058.3212865415467,106.12030839274921,27.28,332,2.469,7856.4,-1.475
25,Îles Salomon,2556.511825856415,90.44957907396213,21.231,561,2.0,2137.0,0.826
26,Brunéi Darussalam,3227.9165561989807,124.99103771153628,42.371,418,1.456,79070.2,-3.566
27,Bulgarie,3244.4283820553956,107.79541362425869,38.313,7223,-0.756,15997.4,1.428
28,Myanmar,2816.916556198981,111.87249634911039,30.15,53259,0.875,4457.9,7.453
32,Cameroun,2773.107095513849,98.00322566789747,11.928,22254,2.553,3100.2,2.615
33,Canada,3811.321286541547,118.47197749334228,46.171,35182,0.987,42339.4,1.304
35,Cabo Verde,2674.404730342566,102.85249634911042,27.136,499,1.012,5963.9,-0.384
37,République centrafricaine,2052.5118258564153,76.5217670303233,26.956,4616,2.011,593.1,-36.824
38,Sri Lanka,2814.6189213702637,90.13176703032335,20.041,21273,0.829,10238.7,2.592
39,Tchad,2351.9165561989807,89.5739549866845,10.84,12825,3.029,2007.1,2.252
40,Chili,3327.0236517128296,112.92468430547166,40.08,17620,0.887,21998.3,3.132
41,"Chine, continentale",3389.618921370264,123.65468430547162,31.758,1385567,0.617,11951.2,7.226
44,Colombie,3181.726016884113,99.66884975517509,33.591,48321,1.293,12296.3,3.852
46,Congo,2310.1070955138493,79.45322566789748,27.991,4448,2.559,5317.1,0.871
48,Costa Rica,3227.726016884113,104.31249634911045,40.977,4872,1.394,14035.3,1.133
49,Cuba,3714.321286541547,122.56103771153626,25.93,11266,-0.044,17816.230357142857,2.010178571428571
50,Chypre,2958.321286541547,108.02176703032335,41.705,1141,1.063,29879.8,-5.715
52,Azerbaïdjan,3564.1307472266785,123.59176703032334,24.338,9413,1.117,16593.2,4.437
53,Bénin,2757.809460685132,92.42322566789746,15.418,10323,2.706,1934.6,4.235
54,Danemark,3782.428382055396,131.90614294304575,52.924,5619,0.375,44564.5,0.514
55,Dominique,3103.511825856415,104.32322566789747,40.918,72,0.0,9871.7,-1.096
56,République dominicaine,2853.916556198981,82.54541362425867,31.958,10404,1.236,11907.2,3.587
57,Bélarus,3665.4283820553956,121.82322566789746,45.106,9357,-0.51,17656.1,1.008
58,Équateur,2658.3212865415476,89.34322566789747,40.854,15738,1.588,10665.5,3.326
59,Égypte,3760.9165561989807,126.38614294304573,20.841,82056,1.653,9814.2,-0.083
60,El Salvador,2888.3212865415467,99.76322566789746,25.3,6340,0.683,6789.9,1.892
63,Estonie,3664.4283820553956,136.57030839274918,38.976,1287,-0.31,26282.9,2.3
66,Fidji,3185.916556198981,105.23103771153627,29.82,881,0.686,7839.9,4.006
67,Finlande,3747.7260168841126,140.72614294304577,51.895,5426,0.333,39428.3,-1.214
68,France,3863.7260168841126,134.8854136242587,51.407,64291,0.554,37350.3,0.06
70,Polynésie française,3131.2141910276982,130.19030839274922,49.005,277,1.095,17816.230357142857,2.010178571428571
72,Djibouti,2678.404730342566,91.22468430547163,16.52,873,1.512,17816.230357142857,2.010178571428571
73,Géorgie,3318.4283820553956,117.078120436388,24.616,4341,-0.39,8254.0,4.729
74,Gabon,2964.8094606851323,121.63884975517507,35.392,1672,2.388,16503.1,2.125
75,Gambie,2863.9165561989807,97.88812043638802,14.404,1849,3.238,1584.8,1.57
79,Allemagne,3884.726016884113,122.1176015806199,50.353,82727,-0.088,42914.5,0.216
80,Bosnie-Herzégovine,3572.4283820553956,120.7624963491104,25.173,3829,-0.13,10284.8,3.576
81,Ghana,3152.809460685132,88.95541362425871,19.358,25905,2.125,3807.3,4.815
83,Kiribati,3180.809460685132,111.13739111760094,34.918,102,0.99,1830.9,3.904
84,Grèce,3775.7260168841126,133.03541362425864,44.522,11128,0.027,23746.1,-2.537
86,Grenade,2580.809460685132,96.02395498668452,43.281,106,0.952,11262.7,1.939
89,Guatemala,2658.9165561989807,90.55395498668453,19.679,15468,2.553,7005.0,1.535
90,Guinée,2775.2141910276982,89.99957907396212,11.033,11745,2.567,1711.7,1.633
91,Guyana,3039.618921370264,113.40957907396213,31.805,800,0.629,6696.8,4.31
93,Haïti,2262.511825856415,72.08541362425866,14.081,10317,1.406,1629.4,2.814
95,Honduras,2951.3212865415467,95.26176703032336,26.174,8096,2.016,4177.6,0.986
96,Chine - RAS de Hong-Kong,3633.02365171283,155.89395498668455,60.554,7204,0.783,51732.4,2.688
97,Hongrie,3346.321286541547,104.35468430547162,40.362,9955,-0.211,23119.0,2.378
98,Croatie,3437.726016884113,114.75176703032332,41.803,4290,-0.395,20271.3,-0.371
99,Islande,3832.1307472266794,167.19957907396213,57.703,330,1.227,41259.8,3.326
100,Inde,2766.321286541547,89.17249634911043,13.435,1252140,1.25,5073.6,5.096
101,Indonésie,3123.0236517128305,90.24322566789746,19.636,249866,1.216,9643.3,4.238
102,Iran (République islamique d'),3470.7260168841126,117.73176703032335,18.856,77447,1.339,16383.3,-1.459
103,Iraq,2854.3212865415467,92.8624963491104,14.171,33765,3.011,15223.6,4.086
104,Irlande,4018.4283820553956,135.51468430547158,47.832,4627,1.115,45470.2,1.105
105,Israël,3783.511825856415,151.1661429430457,47.934,7733,1.164,31250.8,2.186
106,Italie,3925.0236517128296,134.09468430547156,43.425,60990,0.172,34219.8,-2.861
107,Côte d'Ivoire,2935.809460685132,82.83541362425866,16.515,20316,2.399,2879.9,6.175
108,Kazakhstan,3643.7260168841126,124.39322566789744,45.879,16441,1.045,22972.4,4.485
109,Jamaïque,3089.02365171283,103.75395498668455,35.767,2784,0.542,8025.5,0.119
110,Japon,2968.916556198981,108.37760158061988,46.323,127144,-0.083,37148.6,2.148
112,Jordanie,3341.9165561989807,107.6232256678975,25.264,7274,3.781,8756.7,-2.316
113,Kirghizistan,3233.4283820553956,114.39249634911043,30.623,5548,1.352,3120.5,8.736
114,Kenya,2413.214191027698,91.13249634911044,17.447,44354,2.724,2683.0,3.089
115,Cambodge,2646.5118258564153,94.9224963491104,20.143,15135,1.816,2964.2,5.6
116,République populaire démocratique de Corée,2162.404730342566,72.05978953698104,13.975,24895,0.533,17816.230357142857,2.010178571428571
117,République de Corée,3575.916556198981,121.72468430547163,37.897,49263,0.531,32548.7,2.429
118,Koweït,3846.02365171283,137.4124963491104,38.985,3369,3.662,74084.5,-4.552
119,Lettonie,3588.428382055396,121.82176703032331,41.832,2050,-0.485,21563.7,3.533
120,République démocratique populaire lao,2559.1070955138493,90.83687226183282,16.051,6770,1.866,5115.6,6.706
121,Liban,3371.3212865415467,108.8524963491104,26.936,4822,3.766,14400.6,-4.361
122,Lesotho,2562.702365171283,82.01489476849052,17.721,2074,1.072,2631.0,0.523
123,Libéria,2275.404730342566,58.38760158061988,13.941,4294,2.482,818.6,6.05
126,Lituanie,3830.4283820553956,153.62249634911038,49.791,3017,-0.363,25143.9,4.551
